Petition Department,Petition Description,Status,
Education Department,School staff misbehaving with parents and not addressing complaints properly.,Urgent,78
Education Department,"Teachers using abusive language, demoralizing students.",Urgent,1742
Education Department,The non-existence of coding bootcamps or robotics clubs in schools restricts technological skill development and limits students’ exposure to emerging innovations in technology.,Important,473
Education Department,Ensure reliable power backup in hostels to prevent outages ,Important,1673
Education Department,Non-availability of textbooks,Important,2382
Women & Child Welfare,Many students are unable to access proper Education Department due to the lack of teachers and outdated curriculum in public schools. The Education Department department must implement reforms to enhance learning standards.,Urgent,473
Education Department,Unavailability of language labs for improving linguistic skills.,Important,7
Women & Child Welfare,"Public spaces such as parks and markets lack enough female security personnel, making it unsafe for women to visit alone.",Urgent,1874
Education Department,"Instances of discriminatory behavior by teachers based on caste, gender, or economic background undermine student confidence and violate fundamental principles of equality.",Urgent,2361
Women & Child Welfare,"Schools and colleges do not provide enough Education Department on consent, personal safety, and legal rights, leaving students unaware of their protections.",Urgent,1282
Women & Child Welfare,Lack of rehabilitation centers for domestic violence victims ,Important,2450
